127.0.0.1 - - [23/May/2022:00:30:42 +0900] "GET / HTTP/1.1" 200 6181
0:0:0:0:0:0:0:1 - - [23/May/2022:00:31:24 +0900] "GET /resources/assets/images/%ED%94%BC%EC%9E%90.png HTTP/1.1" 200 1345793
0:0:0:0:0:0:0:1 - - [23/May/2022:00:31:24 +0900] "GET /resources/assets/images/%EC%A4%91%EC%8B%9D.png HTTP/1.1" 200 950116
0:0:0:0:0:0:0:1 - - [23/May/2022:00:31:24 +0900] "GET /resources/assets/images/%ED%95%9C%EC%8B%9D.png HTTP/1.1" 200 1239132
0:0:0:0:0:0:0:1 - - [23/May/2022:00:31:35 +0900] "GET /index HTTP/1.1" 200 18715
0:0:0:0:0:0:0:1 - - [23/May/2022:00:31:35 +0900] "GET /resources/assets/css/style.css HTTP/1.1" 200 30872
0:0:0:0:0:0:0:1 - - [23/May/2022:00:31:35 +0900] "GET /resources/assets/css/storeLayOut.css HTTP/1.1" 200 30716
0:0:0:0:0:0:0:1 - - [23/May/2022:00:31:35 +0900] "GET /resources/assets/css/demo.css HTTP/1.1" 200 9451
0:0:0:0:0:0:0:1 - - [23/May/2022:00:31:35 +0900] "GET /resources/assets/css/demoStoreManagement.css HTTP/1.1" 200 2706
0:0:0:0:0:0:0:1 - - [23/May/2022:00:31:35 +0900] "GET /resources/assets/css/componentStoreManagement.css HTTP/1.1" 200 5999
0:0:0:0:0:0:0:1 - - [23/May/2022:00:31:35 +0900] "GET /resources/assets/css/normalizeStoreManagement.css HTTP/1.1" 200 1825
0:0:0:0:0:0:0:1 - - [23/May/2022:00:31:35 +0900] "GET /resources/assets/css/basic.css HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [23/May/2022:00:31:35 +0900] "GET /resources/assets/css/popup.css HTTP/1.1" 200 6766
0:0:0:0:0:0:0:1 - - [23/May/2022:00:31:35 +0900] "GET /resources/assets/js/review.js HTTP/1.1" 200 1472
0:0:0:0:0:0:0:1 - - [23/May/2022:00:31:35 +0900] "GET /resources/assets/js/cart.js HTTP/1.1" 200 3165
0:0:0:0:0:0:0:1 - - [23/May/2022:00:31:35 +0900] "GET /resources/assets/js/scroll.js HTTP/1.1" 200 2447
0:0:0:0:0:0:0:1 - - [23/May/2022:00:31:35 +0900] "GET /resources/assets/js/classie.js HTTP/1.1" 200 1835
0:0:0:0:0:0:0:1 - - [23/May/2022:00:31:35 +0900] "GET /resources/assets/js/modernizr.custom.js HTTP/1.1" 200 8496
0:0:0:0:0:0:0:1 - - [23/May/2022:00:31:35 +0900] "GET /resources/assets/js/common.js HTTP/1.1" 200 1495
0:0:0:0:0:0:0:1 - - [23/May/2022:00:31:35 +0900] "GET /resources/assets/images/%EC%B9%98%ED%82%A8.png HTTP/1.1" 200 1550789
0:0:0:0:0:0:0:1 - - [23/May/2022:00:31:35 +0900] "GET /resources/assets/images/%EC%A4%91%EC%8B%9D.png HTTP/1.1" 200 950116
